ID,Title,Content,Excerpt,Date,"Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured"
385,"Positief conceptaanvraag agrarisch bedrijfsgebouw","<section style="""">
                    <img width=""960"" height=""560"" src=""http://localhost/wp-content/uploads/2022/01/79c.jpg"" alt=""79c"">
<img width=""960"" height=""560"" src=""http://localhost/wp-content/uploads/2022/01/79b.jpg"" alt=""79b"">
<img width=""960"" height=""560"" src=""http://localhost/wp-content/uploads/2022/01/79a.jpg"" alt=""79a"">
<!-- aux-col-wrapper --></section><!-- widget-container -->

Dit ontwerp is een rodeloper die de 3 verschillende gebouwfuncties aan elkaar verbind.
Het kleinschalige bedrijfsgebouw is multifunctioneel en wordt ingericht als dierenpension ter vervanging van de bestaande. De bestaande begeeft zich in slechte staat en heeft asbestdaken.
De huidige bedrijfsruimte wordt met 150m2 uitgebreid.",,2020-04-21,http://janjansen.net/wp-content/uploads/2022/01/79c.jpg|http://janjansen.net/wp-content/uploads/2022/01/79a.jpg|http://janjansen.net/wp-content/uploads/2022/01/79b.jpg,79c.jpg|79a.jpg|79b.jpg,/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/79c.jpg|/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/79a.jpg|/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/79b.jpg,388|386|387,79c|79a|79b,||,||,||,http://janjansen.net/wp-content/uploads/2022/01/79c.jpg
401,"Woning in Westervoort opgeleverd.","<section style="""">
                    <img width=""960"" height=""560"" src=""http://localhost/wp-content/uploads/2022/01/78a.jpg"" alt=""78a"">
<img width=""960"" height=""560"" src=""http://localhost/wp-content/uploads/2022/01/78b.jpg"" alt=""78b"">
<!-- aux-col-wrapper --></section><!-- widget-container -->

Deze levensloop bestendige woning met een bijzonder hoek
kozijn speelt in op een schilderachtig tafereeltjes t.o.v. de meanderende dijk.
De eenvoud van de woning maakt het stedenbouwkundig concept de 9 zadeldakjes af ten opzichte van het straatbeeld.",,2020-04-18,http://janjansen.net/wp-content/uploads/2022/01/78a.jpg|http://janjansen.net/wp-content/uploads/2022/01/78b.jpg,78a.jpg|78b.jpg,/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/78a.jpg|/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/78b.jpg,403|402,78a|78b,|,|,|,http://janjansen.net/wp-content/uploads/2022/01/78a.jpg
408,"Hoogste punt bereikt","<style>/*! elementor - v3.7.8 - 02-10-2022 */<br />
.elementor-widget-image-carousel .swiper-container{position:static}.elementor-widget-image-carousel .swiper-container .swiper-slide figure{line-height:inherit}.elementor-widget-image-carousel .swiper-slide{text-align:center}.elementor-image-carousel-wrapper:not(.swiper-container-initialized) .swiper-slide{max-width:calc(100% / var(--e-image-carousel-slides-to-show, 3))}</style>
<figure><img data-src=""http://localhost/jjba/wp-content/uploads/2022/12/77b-768x600.jpg"" alt=""77b""></figure>
<figure><img data-src=""http://localhost/jjba/wp-content/uploads/2022/12/77a-768x600.jpg"" alt=""77a""></figure>
<svg aria-hidden=""true""><use xlink:href=""#eicon-chevron-left""></use></svg>						Vorige
<svg aria-hidden=""true""><use xlink:href=""#eicon-chevron-right""></use></svg>						Volgende

Hoogste punt bereikt van de markante woning te Groessen a.d. leuvensestraat.

Mooi dat de bouw nog door gaat in deze corona crisis en aan iedereen in dit sociale isoloment…ga door komt GOED!!",,2020-04-17,http://janjansen.net/wp-content/uploads/2022/10/77a-1.jpg,77a-1.jpg,/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/10/77a-1.jpg,827,"77a (1)",,,,http://janjansen.net/wp-content/uploads/2022/10/77a-1.jpg
417,"Rand van Duiven woning en tuin in balans.","<section style="""">
                    <img width=""960"" height=""560"" src=""http://localhost/wp-content/uploads/2022/01/76c.jpg"" alt=""76c"">
<img width=""960"" height=""560"" src=""http://localhost/wp-content/uploads/2022/01/76b.jpg"" alt=""76b"">
<img width=""960"" height=""560"" src=""http://localhost/wp-content/uploads/2022/01/76a.jpg"" alt=""76a"">
<img width=""960"" height=""560"" src=""http://localhost/wp-content/uploads/2022/01/76d.jpg"" alt=""76d"">
<!-- aux-col-wrapper --></section><!-- widget-container -->

Het is leuk om te zien dat er aan de rand van Duiven de door ons ontworpen en gerealiseerde woning wordt versterkt door een mooi tuinontwerp.",,2020-01-22,http://janjansen.net/wp-content/uploads/2022/01/76c.jpg|http://janjansen.net/wp-content/uploads/2022/01/76d.jpg|http://janjansen.net/wp-content/uploads/2022/01/76b.jpg|http://janjansen.net/wp-content/uploads/2022/01/76a.jpg,76c.jpg|76d.jpg|76b.jpg|76a.jpg,/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/76c.jpg|/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/76d.jpg|/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/76b.jpg|/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/76a.jpg,419|418|420|421,76c|76d|76b|76a,|||,|||,|||,http://janjansen.net/wp-content/uploads/2022/01/76c.jpg
426,"Dakconstructie met riet bijna opgeleverd.","<section style="""">
                    <img width=""960"" height=""560"" src=""http://localhost/wp-content/uploads/2022/01/75a.jpg"" alt=""75a"">
<img width=""960"" height=""560"" src=""http://localhost/wp-content/uploads/2022/01/75b.jpg"" alt=""75b"">
<!-- aux-col-wrapper --></section><!-- widget-container -->

Deze onder bijzondere architectuur gebouwde woning op plan Ijsseloeverwonen in Lathum is met riet bedekt.

De oplevering van de woning word verwacht in begin 2020.",,2019-11-27,http://janjansen.net/wp-content/uploads/2022/01/75a.jpg|http://janjansen.net/wp-content/uploads/2022/01/75b.jpg,75a.jpg|75b.jpg,/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/75a.jpg|/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/75b.jpg,428|427,75a|75b,|,|,|,http://janjansen.net/wp-content/uploads/2022/01/75a.jpg
433,"Aanleg laatste hand aan ERF in Groessen","<section style="""">
                    <img width=""960"" height=""560"" src=""http://localhost/wp-content/uploads/2022/01/74a.jpg"" alt=""74a"">
<img width=""960"" height=""560"" src=""http://localhost/wp-content/uploads/2022/01/74b.jpg"" alt=""74b"">
<img width=""960"" height=""560"" src=""http://localhost/wp-content/uploads/2022/01/74c.jpg"" alt=""74c"">
<img width=""960"" height=""560"" src=""http://localhost/wp-content/uploads/2022/01/74d.jpg"" alt=""74d"">
<!-- aux-col-wrapper --></section><!-- widget-container -->

De aanleg van gezamenlijke erf a.d. Terpstraat is in volle gang waarmee de plannen worden afgrond en recht doet aan deze agrarische bebouwing in het mooie schilderachtige Groessen.",,2019-11-26,http://janjansen.net/wp-content/uploads/2022/01/74a.jpg|http://janjansen.net/wp-content/uploads/2022/01/74d.jpg|http://janjansen.net/wp-content/uploads/2022/01/74c.jpg|http://janjansen.net/wp-content/uploads/2022/01/74b.jpg,74a.jpg|74d.jpg|74c.jpg|74b.jpg,/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/74a.jpg|/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/74d.jpg|/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/74c.jpg|/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/74b.jpg,437|434|435|436,74a|74d|74c|74b,|||,|||,|||,http://janjansen.net/wp-content/uploads/2022/01/74a.jpg
442,"Sponsorovereenkomst Sportclub Doesburg voor 3 jaar.","<img width=""500"" height=""375"" src=""http://localhost/wp-content/uploads/2022/01/73a.jpg"" alt="""" loading=""lazy"">

In september tekenden Jan Jansen bouwkundig adviseurs uit Westervoort en Sportclub Doesburg een nieuwe sponsorovereenkomst voor 3 jaar.

Jan Jansen bouwkundig adviseurs is een adviesbureau met jarenlange ervaring op het gebied van bouwkundig tekenwerk, advies en project- en procesbegeleiding.

Zij zijn actief in de belangrijkste sectoren van de bouwwereld zoals: particuliere opdrachtgevers, projectmatige bouw, utiliteitsbouw en heeft men 3 jaar geleden een zeer belangrijke bijdrage geleverd aan het ontwerp en bouwproces van de nieuwe multifunctionele accommodatie van Sportclub Doesburg.Zelf ben ik ook nauw betrokken bij voetbalclub Sc. Westervoort en weet hij als geen ander hoe belangrijk sponsoring voor een vereniging is.

Daarom willen we graag een bijdrage leveren aan sportclub Doesburg in de vorm van een mooi sponsorpakket.",,2019-11-26,http://janjansen.net/wp-content/uploads/2022/01/73a.jpg,73a.jpg,/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/73a.jpg,443,73a,,,,http://janjansen.net/wp-content/uploads/2022/01/73a.jpg
448,"1e boorpalen aanbrengen Villa a.d. leuvensestraat 19a Groessen","<section style="""">
                    <img width=""960"" height=""560"" src=""http://localhost/wp-content/uploads/2022/01/72a.jpg"" alt=""72a"">
<img width=""960"" height=""560"" src=""http://localhost/wp-content/uploads/2022/01/72b.jpg"" alt=""72b"">
<!-- aux-col-wrapper --></section><!-- widget-container -->

De woning aan de Leuvensestraat is vandaag gestart met boorpalen en we verwachten dat er eind van dit jaar de begane grond vloer word aangebracht.

De realisatie van deze villa- en marker in het plan glorieus wonen is markant door zijn ontwerp maar ook de plaats is bijzonder op loop afstand van Rijnstrange natuurgebied.",,2019-11-26,http://janjansen.net/wp-content/uploads/2022/01/72a.jpg|http://janjansen.net/wp-content/uploads/2022/01/72b.jpg,72a.jpg|72b.jpg,/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/72a.jpg|/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/72b.jpg,450|449,72a|72b,|,|,|,http://janjansen.net/wp-content/uploads/2022/01/72a.jpg
455,"Bandijk 75 Lathum","<section style="""">
                    <img width=""960"" height=""560"" src=""http://localhost/wp-content/uploads/2022/01/71a.jpg"" alt=""71a"">
<img width=""960"" height=""560"" src=""http://localhost/wp-content/uploads/2022/01/71b.jpg"" alt=""71b"">
<!-- aux-col-wrapper --></section><!-- widget-container -->

In opdracht art impressies gemaakt van onze eigen ontwerp aan de Bandijk 75 Lathum.
Deze villa aan de rand van Arnhem is een unieke locatie met de bouw van deze laatste woning kan project Ijsseloever worden afgerond.
De omgevingsvergunning is reeds verleend!",,2019-10-21,http://janjansen.net/wp-content/uploads/2022/01/71a.jpg|http://janjansen.net/wp-content/uploads/2022/01/71b.jpg,71a.jpg|71b.jpg,/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/71a.jpg|/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/71b.jpg,457|456,71a|71b,|,|,|,http://janjansen.net/wp-content/uploads/2022/01/71a.jpg
462,"Laatste woning plan Glorieus!","<section style="""">
                    <img width=""960"" height=""560"" src=""http://localhost/wp-content/uploads/2022/01/70b.jpg"" alt=""70b"">
<img width=""960"" height=""560"" src=""http://localhost/wp-content/uploads/2022/01/70c.jpg"" alt=""70c"">
<img width=""960"" height=""560"" src=""http://localhost/wp-content/uploads/2022/01/70a.jpg"" alt=""70a"">
<!-- aux-col-wrapper --></section><!-- widget-container -->

laatste brochure van de nieuwbouw villa a.d. leuvensestraat 19 b.
Met de verkoop van deze nieuwbouw woning is het ambitieuze plan glorieus wonen in Groessen afgerond.
Deze woning is een spiegelbeeld van de reeds gerealiseerde woning met een knip oog naar het kassen verleden.",,2019-10-18,http://janjansen.net/wp-content/uploads/2022/01/70b.jpg|http://janjansen.net/wp-content/uploads/2022/01/70c.jpg|http://janjansen.net/wp-content/uploads/2022/01/70a.jpg,70b.jpg|70c.jpg|70a.jpg,/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/70b.jpg|/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/70c.jpg|/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/70a.jpg,464|463|465,70b|70c|70a,||,||,||,http://janjansen.net/wp-content/uploads/2022/01/70b.jpg
470,"Woning met gastenverblijf in de verkoop in Wehl","<section style="""">
                    <img width=""960"" height=""560"" src=""http://localhost/wp-content/uploads/2022/01/69a.jpg"" alt=""69a"">
<img width=""960"" height=""560"" src=""http://localhost/wp-content/uploads/2022/01/69b.jpg"" alt=""69b"">
<!-- aux-col-wrapper --></section><!-- widget-container -->

Binnenkort komt deze woning met gastenverblijf in de verkoop in Wehl.
Uniek bouwkavel ca. 4000m2 met omgevingsvergunning aan rustig gezamenlijk erf.
Buitenaf landelijk en toch alle voorzieningen in de buurt!",,2019-10-08,http://janjansen.net/wp-content/uploads/2022/01/69a.jpg|http://janjansen.net/wp-content/uploads/2022/01/69b.jpg,69a.jpg|69b.jpg,/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/69a.jpg|/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/01/69b.jpg,472|471,69a|69b,|,|,|,http://janjansen.net/wp-content/uploads/2022/01/69a.jpg
772,"Hoogste punt Villa Raaijenstraat Elst","<style>/*! elementor - v3.7.8 - 02-10-2022 */<br />
.elementor-widget-image-carousel .swiper-container{position:static}.elementor-widget-image-carousel .swiper-container .swiper-slide figure{line-height:inherit}.elementor-widget-image-carousel .swiper-slide{text-align:center}.elementor-image-carousel-wrapper:not(.swiper-container-initialized) .swiper-slide{max-width:calc(100% / var(--e-image-carousel-slides-to-show, 3))}</style>
<figure><img src=""http://localhost/jjba/wp-content/uploads/2022/10/24a-768x576.jpg"" alt=""24a""></figure>
De nieuwbouw vordert gestaagd en het hoogste punt is bereikt.
Nog even de gevels wit keimen en de oplevering staat gepland medio juni 2016.",,2022-10-23,http://janjansen.net/wp-content/uploads/2022/10/24a.jpg,24a.jpg,/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/10/24a.jpg,832,24a,,,,http://janjansen.net/wp-content/uploads/2022/10/24a.jpg
773,"Omgevingsvergunning voor verbouw van COMPAXO Zevenaar","<style>/*! elementor - v3.7.8 - 02-10-2022 */<br />
.elementor-widget-image-carousel .swiper-container{position:static}.elementor-widget-image-carousel .swiper-container .swiper-slide figure{line-height:inherit}.elementor-widget-image-carousel .swiper-slide{text-align:center}.elementor-image-carousel-wrapper:not(.swiper-container-initialized) .swiper-slide{max-width:calc(100% / var(--e-image-carousel-slides-to-show, 3))}</style>
<figure><img src=""http://localhost/jjba/wp-content/uploads/2022/10/23.jpg"" alt=""23""></figure>
De bouwactiviteiten voor een overkapping en ondersteunende ruimtes op de verdieping voor COMPAXO kunnen beginnen.",,2022-10-23,http://janjansen.net/wp-content/uploads/2022/10/23.jpg,23.jpg,/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/10/23.jpg,831,23,,,,http://janjansen.net/wp-content/uploads/2022/10/23.jpg
774,"De kortemaat a.d. Heilweg 22 gaat in de verkoop","<style>/*! elementor - v3.7.8 - 02-10-2022 */<br />
.elementor-widget-image-carousel .swiper-container{position:static}.elementor-widget-image-carousel .swiper-container .swiper-slide figure{line-height:inherit}.elementor-widget-image-carousel .swiper-slide{text-align:center}.elementor-image-carousel-wrapper:not(.swiper-container-initialized) .swiper-slide{max-width:calc(100% / var(--e-image-carousel-slides-to-show, 3))}</style>
<figure><img src=""http://localhost/jjba/wp-content/uploads/2022/10/22a.png"" alt=""22a""></figure>
Met de plaatsing van het projectbord gaat de verkoop voor 3 woningen op ruime kavels van start.
Aan de rand van Duiven met ontsluiting aan de Heilweg en vrij uitzicht op het Looveld.
De omgevingsvergunning is verleend en de bouw kan met 1 jaar na ondertekening worden opgeleverd. moderne woningen van de Hollandsche school met natuurlijke materialen zoals o.a. keramische dakpannen. De verkoop geschied door van Heteren makelaars en informeer naar de mogelijkheden.",,2022-10-23,http://janjansen.net/wp-content/uploads/2022/10/22a.png,22a.png,/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/10/22a.png,830,22a,,,,http://janjansen.net/wp-content/uploads/2022/10/22a.png
775,"Woning van de maand juli Glorieus wonen in Groessen","<style>/*! elementor - v3.7.8 - 02-10-2022 */<br />
.elementor-widget-image-carousel .swiper-container{position:static}.elementor-widget-image-carousel .swiper-container .swiper-slide figure{line-height:inherit}.elementor-widget-image-carousel .swiper-slide{text-align:center}.elementor-image-carousel-wrapper:not(.swiper-container-initialized) .swiper-slide{max-width:calc(100% / var(--e-image-carousel-slides-to-show, 3))}</style>
<figure><img src=""http://localhost/jjba/wp-content/uploads/2022/10/9a-768x490.jpg"" alt=""9a""></figure>
We hebben in opdracht van de heer en mevrouw Ruizendaal een hoekwoning ontworpen een echte marker in het landschap.
Deze woning is te koop en kan eenvoudig op maat worden gemaakt zodat veel indelingen en wensen van de toekomstige bewoners mogelijk is. Daarnaast zeer geschikt voor inwoning van bijvoorbeeld ouder.",,2022-10-23,http://janjansen.net/wp-content/uploads/2022/10/20a.jpg,20a.jpg,/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/10/20a.jpg,829,20a,,,,http://janjansen.net/wp-content/uploads/2022/10/20a.jpg
776,"Oplevering Aterlier","<style>/*! elementor - v3.7.8 - 02-10-2022 */<br />
.elementor-widget-image-carousel .swiper-container{position:static}.elementor-widget-image-carousel .swiper-container .swiper-slide figure{line-height:inherit}.elementor-widget-image-carousel .swiper-slide{text-align:center}.elementor-image-carousel-wrapper:not(.swiper-container-initialized) .swiper-slide{max-width:calc(100% / var(--e-image-carousel-slides-to-show, 3))}</style>
<figure><img src=""http://localhost/jjba/wp-content/uploads/2022/10/19a-768x450.jpg"" alt=""19a""></figure>
Aan een jaren 30 woning is een modern helder atelier gerealiseerd.
gekozen is voor natuurlijke materialen zoals onbehandeld red ceder en bankiray als vlonder. de tuin is opnieuw ingericht zodat er een soort eiland ontstaat in het groen. Een zachte groenrijke overgang naar het atelier met gevoel voor detail.",,2022-10-23,http://janjansen.net/wp-content/uploads/2022/10/19a.jpg,19a.jpg,/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/10/19a.jpg,828,19a,,,,http://janjansen.net/wp-content/uploads/2022/10/19a.jpg
777,"Villa in Elst","<style>/*! elementor - v3.7.8 - 02-10-2022 */<br />
.elementor-widget-image-carousel .swiper-container{position:static}.elementor-widget-image-carousel .swiper-container .swiper-slide figure{line-height:inherit}.elementor-widget-image-carousel .swiper-slide{text-align:center}.elementor-image-carousel-wrapper:not(.swiper-container-initialized) .swiper-slide{max-width:calc(100% / var(--e-image-carousel-slides-to-show, 3))}</style>
<figure><img src=""http://localhost/jjba/wp-content/uploads/2022/10/18a.jpg"" alt=""18a""></figure>
Startbouw villa landhuis voor de familie van Wichen welke door een mooi landschappelijke plan in de bestaande tuinderijen word ingepast. Met zicht op de Linge en Lingepark geeft dit plan veel kwaliteit.",,2022-10-23,http://janjansen.net/wp-content/uploads/2022/10/18a.jpg,18a.jpg,/home/customer/www/janjansen.net/public_html/wp-content/uploads/2022/10/18a.jpg,821,18a,,,,http://janjansen.net/wp-content/uploads/2022/10/18a.jpg
